place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Huron^Fresno County^,16,33,44,41,39,21,14,14,21,18,17,7,12,-33.3,-25,193.5
Kerman^Fresno County^,138,132,129,83,71,30,57,30,56,36,29,32,41,13.9,-70.3,256.2
Coalinga^Fresno County^,23,33,37,34,33,27,21,13,27,20,16,11,10,-50,-56.5,56.8
Fowler^Fresno County^,34,29,34,41,24,30,25,18,9,19,22,15,18,-5.3,-47.1,268.7
Clovis^Fresno County^,386,411,385,305,208,209,202,208,148,159,202,203,222,39.6,-42.5,184.8
Firebaugh^Fresno County^,35,17,23,3,63,10,17,18,22,37,16,17,22,-40.5,-37.1,271.6
Kingsburg^Fresno County^,77,55,91,54,56,78,104,37,53,36,25,22,41,13.9,-46.8,330.6
Sanger^Fresno County^,169,165,135,114,62,72,88,76,64,67,76,54,37,-44.8,-78.1,139.1
Mendota^Fresno County^,60,58,37,43,75,113,32,27,69,60,26,38,76,26.7,26.7,603.2
Parlier^Fresno County^,106,290,109,108,30,55,81,85,103,49,55,53,48,-2,-54.7,328.8
Selma^Fresno County^,327,199,300,249,209,219,183,162,142,121,100,85,102,-15.7,-68.8,413
Reedley^Fresno County^,110,80,122,112,82,90,80,74,70,49,50,40,65,32.7,-40.9,257.9
Orange Cove^Fresno County^,NA,NA,NA,125,59,47,56,23,22,11,13,3,8,-27.3,NA,83.3
City of Fresno^Fresno County^,4553,4780,4301,4057,3103,2993,3284,2789,2365,2051,2650,3443,3134,52.8,-31.2,578.1
Fresno Co. Sheriff's Department^Fresno County^,746,832,948,721,558,574,705,616,604,599,594,706,862,43.9,15.5,518.8
