place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Huron^Fresno County^,56,74,37,52,58,27,42,51,89,72,71,42,51,-29.2,-8.9,822.6
Orange Cove^Fresno County^,NA,NA,NA,189,5,9,34,47,17,16,35,16,31,93.8,NA,322.9
Mendota^Fresno County^,46,40,33,21,56,77,74,62,75,74,61,59,69,-6.8,50,547.6
Fowler^Fresno County^,20,42,48,32,42,34,28,18,15,21,27,32,32,52.4,60,477.6
Coalinga^Fresno County^,106,104,172,118,110,91,113,105,60,35,49,53,116,231.4,9.4,659.1
Firebaugh^Fresno County^,19,8,23,61,60,37,3,22,36,7,19,17,21,200,10.5,259.3
Kerman^Fresno County^,37,35,23,34,25,27,24,32,32,16,16,33,70,337.5,89.2,437.5
Kingsburg^Fresno County^,22,58,25,18,25,18,16,29,28,13,13,20,25,92.3,13.6,201.6
Parlier^Fresno County^,126,562,96,65,99,75,79,81,81,51,44,85,92,80.4,-27,630.1
Sanger^Fresno County^,118,283,223,104,73,85,97,81,59,132,81,100,118,-10.6,0,443.6
Reedley^Fresno County^,112,164,152,125,172,140,161,81,79,97,105,118,122,25.8,8.9,484.1
City of Fresno^Fresno County^,1898,1809,1628,1556,1501,1653,1887,1786,1842,1606,2446,3707,3465,115.8,82.6,639.2
Selma^Fresno County^,97,164,147,146,120,134,251,260,198,51,88,117,118,131.4,21.6,477.7
Clovis^Fresno County^,77,126,125,111,139,142,146,138,138,157,160,168,185,17.8,140.3,154
