place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Porterville^Tulare County^,11,5,10,8,10,12,16,10,15,7,25,28,27,285.7,145.5,43.1
Visalia^Tulare County^,26,40,44,31,30,106,68,81,107,111,106,87,71,-36,173.1,50.2
Huron^Fresno County^,1,5,2,2,3,1,3,6,4,1,2,4,3,200,200,48.4
Kerman^Fresno County^,0,6,3,2,6,0,4,9,5,3,3,10,3,0,NA,18.8
Chowchilla^Madera County^,5,2,2,3,1,2,1,1,1,2,4,4,8,300,60,42.1
Merced^Merced County^,33,20,25,19,17,31,35,28,30,34,40,36,107,214.7,224.2,124
Coalinga^Fresno County^,6,4,9,7,5,9,10,9,3,2,8,9,4,100,-33.3,22.7
Fowler^Fresno County^,1,1,0,3,3,2,3,4,1,2,2,3,1,-50,0,14.9
Clovis^Fresno County^,31,26,34,23,28,26,35,44,46,54,40,34,38,-29.6,22.6,31.6
Firebaugh^Fresno County^,0,0,1,6,13,15,7,3,4,2,1,0,2,0,NA,24.7
Kingsburg^Fresno County^,1,2,6,3,4,2,3,2,5,2,1,2,6,200,500,48.4
Sanger^Fresno County^,14,9,13,15,12,13,9,12,15,9,10,9,9,0,-35.7,33.8
Madera^Madera County^,22,15,19,28,15,18,22,32,37,32,35,49,29,-9.4,31.8,43.8
Atwater^Merced County^,6,5,8,7,9,8,8,7,6,10,2,22,18,80,200,56.2
Dos Palos^Merced County^,3,0,2,31,2,7,0,4,3,0,2,1,2,NA,-33.3,34.5
Los Banos^Merced County^,4,7,0,3,3,4,11,6,7,12,16,18,18,50,350,39.6
Exeter^Tulare County^,3,1,3,3,2,1,1,4,2,5,4,2,3,-40,0,29.1
Lindsay^Tulare County^,2,0,1,1,0,4,1,0,0,5,3,4,1,-80,-50,7.9
Tulare^Tulare County^,21,19,10,15,20,16,13,22,24,27,29,61,41,51.9,95.2,59.5
Avenal^Kings County^,2,3,4,4,0,1,5,8,2,7,4,8,2,-71.4,0,14.6
Corcoran^Kings County^,1,1,4,2,5,4,10,9,8,8,11,8,8,0,700,35.9
Lemoore^Kings County^,11,6,9,6,18,17,20,20,18,17,15,29,20,17.6,81.8,74.1
Woodlake^Tulare County^,2,1,2,1,3,1,2,1,2,4,1,2,0,-100,-100,0
Mendota^Fresno County^,3,2,0,1,1,2,7,5,5,4,3,2,6,50,100,47.6
Parlier^Fresno County^,9,23,7,6,8,11,11,8,9,2,2,11,5,150,-44.4,34.2
Selma^Fresno County^,3,9,14,10,14,16,18,12,23,6,8,5,7,16.7,133.3,28.3
Farmersville^Tulare County^,1,0,1,1,0,1,0,2,1,0,2,0,1,NA,0,9.6
Hanford^Kings County^,6,7,24,10,27,23,21,28,32,18,17,19,28,55.6,366.7,48.3
Dinuba^Tulare County^,2,0,4,6,4,5,6,7,9,5,7,16,8,60,300,32.5
Reedley^Fresno County^,9,8,6,7,7,17,10,5,13,7,11,4,11,57.1,22.2,43.7
Livingston^Merced County^,4,5,3,1,2,6,5,2,1,1,1,3,2,100,-50,14.1
Gustine^Merced County^,0,2,1,2,1,1,2,1,2,2,2,3,1,-50,NA,16.4
Orange Cove^Fresno County^,NA,NA,NA,15,4,0,1,0,2,0,0,0,1,NA,NA,10.4
City of Fresno^Fresno County^,70,51,54,53,53,167,158,174,170,129,148,262,241,86.8,244.3,44.5
Fresno Co. Sheriff's Department^Fresno County^,33,23,20,8,22,32,29,38,39,38,56,49,21,-44.7,-36.4,12.6
Kings Co. Sheriff's Department^Kings County^,9,13,13,12,12,16,16,22,19,19,15,13,10,-47.4,11.1,31.8
Madera Co. Sheriff's Department^Madera County^,22,10,14,28,22,18,28,23,32,34,22,65,48,41.2,118.2,67.6
Mariposa Co. Sheriff's Department^Mariposa County^,5,5,2,6,6,8,12,9,7,8,12,10,12,50,140,70
Merced Co. Sheriff's Department^Merced County^,22,22,15,15,9,20,18,16,25,19,19,15,40,110.5,81.8,43.8
Tulare Co. Sheriff's Department^Tulare County^,32,31,40,20,22,29,28,35,40,30,29,34,30,0,-6.2,22.3
